* 30 events from upcoming calendar:
"Calendar Name", "Start Time", "End Time", "Subjects", "Location", "Description"
Bachelor 1 of four-year program:
"","2021-01-11","2021-04-17","B0 English Stage 02","Trường Đại học Khoa học và Công nghệ Hà Nội, 18 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội, Vietnam","None"
"","2021-03-29T08:00:00+07:00","2021-03-29T10:00:00+07:00","[B02] PET PREPARATION - DUONG BUI","A21-6-Classroom 614 (50), Online-10-FLC-Elearning27-Zoom (300)","None"
"","2021-03-29T08:00:00+07:00","2021-03-29T10:00:00+07:00","[B01] NEW TOTAL ENGLISH - SON NGUYEN","A21-6-Classroom 612 (40), Online-10-FLC-Elearning21-Zoom (300)","None"
"","2021-03-29T08:30:00+07:00","2021-03-29T11:30:00+07:00","[B03] INFORMATICS","A21-6-Classroom 601 (50)","None"
"","2021-03-29T08:30:00+07:00","2021-03-29T11:30:00+07:00","[B04] PHYSICS - Dr. Le Thi Ly","A21-6-Classroom 602 (50)","None"
"","2021-03-29T10:15:00+07:00","2021-03-29T12:15:00+07:00","[B01] PET PREPARATION - DUONG BUI","A21-6-Classroom 612 (40), Online-10-FLC-Elearning21-Zoom (300)","None"
"","2021-03-29T10:15:00+07:00","2021-03-29T12:15:00+07:00","[B02] NEW TOTAL ENGLISH - SON NGUYEN","A21-6-Classroom 614 (50), Online-10-FLC-Elearning27-Zoom (300)","None"
"","2021-03-29T13:00:00+07:00","2021-03-29T15:00:00+07:00","[B03] NEW TOTAL ENGLISH - THUY VU","A21-6-Classroom 612 (40), Online-10-FLC-Elearning28-Zoom (300)","None"
"","2021-03-29T13:00:00+07:00","2021-03-29T15:00:00+07:00","[B04] PET PREPARATION - TRANG DINH","A21-6-Classroom 614 (50), Online-10-FLC-Elearning29-Zoom (300)","None"
"","2021-03-29T13:30:00+07:00","2021-03-29T16:30:00+07:00","[B01] INFORMATICS","A21-6-Classroom 601 (50)","None"
"","2021-03-29T13:30:00+07:00","2021-03-29T16:30:00+07:00","[B02] PHYSICS - Dr. Le Thi Ly","A21-6-Classroom 602 (50)","None"
"","2021-03-29T15:15:00+07:00","2021-03-29T17:15:00+07:00","[B03] PET PREPARATION - TRANG DINH","A21-6-Classroom 612 (40), Online-10-FLC-Elearning28-Zoom (300)","None"
"","2021-03-29T15:15:00+07:00","2021-03-29T17:15:00+07:00","[B04] NEW TOTAL ENGLISH - THUY VU","A21-6-Classroom 614 (50), Online-10-FLC-Elearning29-Zoom (300)","None"
"","2021-03-30T08:00:00+07:00","2021-03-30T10:00:00+07:00","[B01] VOCABULARY - THUY VU","A21-6-Classroom 612 (40), Online-10-FLC-Elearning21-Zoom (300)","None"
"","2021-03-30T08:00:00+07:00","2021-03-30T10:00:00+07:00","[B02] PET PREPARATION - YEN VU","A21-6-Classroom 614 (50), Online-10-FLC-Elearning27-Zoom (300)","None"
"","2021-03-30T08:30:00+07:00","2021-03-30T11:30:00+07:00","[B03] CHEMISTRY","A21-6-Classroom 602 (50)","None"
"","2021-03-30T08:30:00+07:00","2021-03-30T11:30:00+07:00","[B04] BIOLOGY","A21-6-Classroom 605 (70)","None"
